Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-6,3,0,255,255,255
250,-5.9941,2.9995,0.0197,255,255,255
500,-5.9718,2.9975,0.0933,255,255,255
750,-5.9341,2.994,0.2181,255,255,255
1000,-5.882,2.9893,0.3905,255,255,255
1250,-5.8168,2.9834,0.6067,255,255,255
1500,-5.7394,2.9764,0.863,255,255,255
1750,-5.6511,2.9683,1.156,255,255,255
2000,-5.5528,2.9593,1.4819,255,255,255
2250,-5.4458,2.9496,1.837,255,255,255
2500,-5.3311,2.9391,2.2177,255,255,255
2750,-5.2099,2.9279,2.6204,255,255,255
3000,-5.0832,2.9163,3.0417,255,255,255
3250,-4.9518,2.9042,3.4781,255,255,255
3500,-4.8169,2.8918,3.926,255,255,255
3750,-4.6795,2.8793,4.382,255,255,255
4000,-4.5408,2.8666,4.8423,255,255,255
4250,-4.4018,2.8539,5.3034,255,255,255
4500,-4.2637,2.8413,5.7615,255,255,255
4750,-4.1275,2.8288,6.2131,255,255,255
5000,-3.9943,2.8167,6.6546,255,255,255
5250,-3.8652,2.8049,7.0824,255,255,255
5500,-3.7414,2.7936,7.4928,255,255,255
5750,-3.6239,2.7829,7.8822,255,255,255
6000,-3.5138,2.7729,8.247,255,255,255
6250,-3.4122,2.7637,8.5836,255,255,255
6500,-3.3202,2.7553,8.8883,255,255,255
6750,-3.2389,2.7479,9.1575,255,255,255
7000,-3.1694,2.7416,9.3877,255,255,255
7250,-3.1128,2.7364,9.5752,255,255,255
7500,-3.0702,2.7326,9.7163,255,255,255
7750,-3.0426,2.7301,9.8075,255,255,255
8000,-3.0312,2.729,9.8452,255,255,255
8250,-3.031,2.729,9.846,255,255,255
8500,-3.031,2.729,9.846,255,255,255
8750,-3.031,2.729,9.846,255,255,255
9000,-3.031,2.729,9.846,255,255,255
9250,-3.031,2.729,9.846,255,255,255
9500,-3.031,2.729,9.846,255,255,255
9750,-3.031,2.729,9.846,255,255,255
10000,-3.031,2.729,9.846,255,255,255
10250,-3.031,2.729,9.846,255,255,255
